BARRIO,Accidentes,Heridos,Daños,Muertos,cluster,LONGITUD,ALTITUD
boston,7.5136612021857925,3.9808743169398912,3.527322404371585,0.00546448087431694,1,-75.55924091160217,6.2475929776142145
boyacá,2.282608695652174,1.4782608695652173,0.8043478260869565,0.0,0,-75.5658055763864,6.303550505654898
brasilia,2.1700680272108843,1.564625850340136,0.6054421768707483,0.0,0,-75.55953261445454,6.273837492209357
buenosaires,3.3333333333333335,2.0395480225988702,1.2937853107344632,0.0,2,-75.55624318205592,6.239911817089618
bugapatiobonito,1.1111111111111112,0.7111111111111111,0.4,0.0,0,-75.63537376469999,6.2215168562686
cabecerasanantoniodeprado,10.188524590163937,5.868852459016393,4.295081967213115,0.02459016393442623,1,-75.64580019910888,6.177512833054657
cabeceraurbanasancristobal,2.2549668874172184,1.576158940397351,0.6754966887417219,0.0033112582781456954,0,-75.63345708645375,6.278200227532277
calasanz,2.6435045317220545,1.3051359516616314,1.338368580060423,0.0,0,-75.59855777498056,6.26264589962592
calasanzpartealta,1.8118466898954704,0.9825783972125436,0.8292682926829268,0.0,0,-75.60152924459808,6.266167575207827
callenueva,5.580110497237569,2.0718232044198897,3.5027624309392267,0.0055248618784530384,2,-75.57403179515693,6.239845403428658
campoalegre,2.1368078175895766,1.50814332247557,0.6254071661237784,0.003257328990228013,0,-75.61164370258841,6.25354789128061
campoamor,13.991803278688526,6.601092896174864,7.368852459016394,0.02185792349726776,1,-75.58190379763815,6.2132513947875765
campovaldésno.1,4.160664819944598,3.1163434903047094,1.0332409972299168,0.0110803324099723,2,-75.55656479949069,6.27290749086006
campovaldésno.2,3.2202898550724637,2.643478260869565,0.5739130434782609,0.002898550724637681,2,-75.55285277114132,6.272709388164941
caribe,13.245901639344265,6.816939890710382,6.407103825136612,0.02185792349726776,1,-75.57452538081229,6.26892540451005
carlose.restrepo,9.114754098360656,4.191256830601093,4.909836065573771,0.01366120218579235,1,-75.58058048104317,6.256573161493501
carpinelo,1.1875,0.9531249999999999,0.234375,0.0,0,-75.53925540561185,6.287860166387368
castilla,7.91256830601093,5.948087431693989,1.959016393442623,0.00546448087431694,1,-75.57168825287431,6.289618173294306
castropol,3.9971264367816093,1.7816091954022988,2.2155172413793105,0.0,2,-75.56839366093314,6.219440626740647
cataluña,1.47196261682243,0.8037383177570093,0.6682242990654206,0.0,0,-75.55170687479684,6.231358697265492
cementeriouniversal,1.3567567567567567,0.6486486486486487,0.708108108108108,0.0,0,-75.57381798368526,6.276601200230877
centroadministrativo,1.7061611374407584,0.8815165876777251,0.8246445497630331,0.0,0,-75.57471869243889,6.242459315018694
cerronutibara,3.348441926345609,1.7733711048158638,1.5694050991501416,0.0056657223796034,2,-75.57790926512351,6.234129587062496
corazóndejesús,7.458791208791209,2.9862637362637363,4.461538461538462,0.01098901098901099,1,-75.57747424056906,6.249133609886055
cristorey,6.447802197802198,3.3076923076923075,3.1373626373626373,0.0027472527472527475,2,-75.58481489494632,6.205524401239127
cuartabrigada,3.8960674157303368,2.0224719101123596,1.8679775280898876,0.0056179775280898875,2,-75.58809549331002,6.260315581589237
cucaracho,3.0679886685552407,2.223796033994334,0.8385269121813032,0.0056657223796034,2,-75.60297067012927,6.279666854757304
córdoba,2.075907590759076,1.3927392739273927,0.6831683168316832,0.0,0,-75.57768517080446,6.279742101440302
diegoechavarría,1.7728937728937728,0.9047619047619048,0.8644688644688645,0.003663003663003663,0,-75.59558700075,6.213705188802645
docedeoctubreno.1,2.0,1.5694915254237287,0.43050847457627117,0.0,0,-75.57962236073558,6.306436186737644
docedeoctubreno.2,2.225,1.7375,0.484375,0.003125,0,-75.58029074688062,6.300442944174144
eduardosantos,1.04,0.74,0.3,0.0,0,-75.62793935503846,6.258174621815962
elastillero,1.0,1.0,0.0,0.0,0,-75.67061971275,6.2325020844225
elcastillo,1.768939393939394,0.6363636363636364,1.1325757575757576,0.0,0,-75.57413896463598,6.192708668771756
elchagualo,5.978082191780822,3.0794520547945203,2.8904109589041096,0.00821917808219178,2,-75.57172944636022,6.260371031818392
elcompromiso,1.2983870967741935,0.9596774193548386,0.33870967741935487,0.0,0,-75.54416477742858,6.2874762444889445
elcorazonelmorro,1.0,0.7058823529411765,0.2941176470588235,0.0,0,-75.63392497970588,6.248003042271765
elcorazón,1.184873949579832,0.8655462184873951,0.31932773109243695,0.0,0,-75.6258221782766,6.246855344688724
eldanubio,1.6901960784313725,1.1058823529411765,0.5764705882352941,0.00784313725490196,0,-75.6085006007935,6.25213289411594
eldiamante,3.2349570200573066,2.3868194842406876,0.8452722063037249,0.0028653295128939827,2,-75.5864885311993,6.284879929903827
eldiamanteno.2,1.5336322869955157,0.4977578475336323,1.0358744394618835,0.0,0,-75.57521615992982,6.186716019588948
elestadio,3.2750716332378222,1.8194842406876792,1.452722063037249,0.0028653295128939827,2,-75.59584402628872,6.259505676137769
elllanose,1.0,0.0,1.0,0.0,0,-75.504569111,6.19302033492
elnogal-losalmendros,1.7765151515151516,0.803030303030303,0.9734848484848485,0.0,0,-75.59592090217058,6.237747505815821
elpesebre,1.3967391304347827,0.9347826086956521,0.45652173913043476,0.005434782608695652,0,-75.59854337058366,6.272182328850194
